omega_frac,t,z,vz
0.25,0.000000,0.048058,0.008442
0.25,0.008333,0.047871,-0.024134
0.25,0.016667,0.047761,-0.020520
0.25,0.025000,0.047763,-0.018392
0.25,0.033333,0.047814,-0.013583
0.25,0.041667,0.047776,-0.016212
0.25,0.050000,0.047843,-0.003524
0.25,0.058333,0.047756,-0.016206
0.25,0.066667,0.047832,0.009036
0.25,0.075000,0.047841,-0.011133
0.25,0.083333,0.047757,-0.024047
0.25,0.091667,0.047698,-0.014725
0.25,0.100000,0.047758,-0.010712
0.25,0.108333,0.047771,-0.014740
0.25,0.116667,0.047786,-0.016885
0.25,0.125000,0.047784,-0.011637
0.25,0.133333,0.047815,-0.004357
0.25,0.141667,0.047850,-0.004346
0.25,0.150000,0.047841,-0.001906
0.25,0.158333,0.047769,-0.017339
0.25,0.166667,0.047751,-0.017177
0.25,0.175000,0.047733,-0.018087
0.25,0.183333,0.047782,-0.014422
0.25,0.191667,0.047831,-0.010576
0.25,0.200000,0.047808,-0.011611
0.25,0.208333,0.047804,-0.014159
0.25,0.216667,0.047800,-0.001736
0.25,0.225000,0.047837,0.000636
0.25,0.233333,0.047847,-0.011578
0.25,0.241667,0.047735,-0.018857
0.25,0.250000,0.047722,-0.018759
0.25,0.258333,0.047765,-0.014206
0.25,0.266667,0.047740,-0.017513
0.25,0.275000,0.047761,-0.015922
0.25,0.283333,0.047719,-0.015966
0.25,0.291667,0.047679,-0.006209
0.25,0.300000,0.047841,0.009533
0.25,0.308333,0.047915,0.002568
0.25,0.316667,0.047771,-0.026403
0.25,0.325000,0.047777,-0.016892
0.25,0.333333,0.047801,-0.011050
0.25,0.341667,0.047849,-0.006634
0.25,0.350000,0.047830,-0.012776
0.25,0.358333,0.047750,-0.021810
0.25,0.366667,0.047767,-0.016002
0.25,0.375000,0.047785,-0.002698
0.25,0.383333,0.047837,0.000870
0.25,0.391667,0.047794,-0.017476
0.25,0.400000,0.047749,-0.022513
0.25,0.408333,0.047709,-0.018937
0.25,0.416667,0.047771,-0.014594
0.25,0.425000,0.047730,-0.020207
0.25,0.433333,0.047732,-0.012674
0.25,0.441667,0.047818,-0.011549
0.25,0.450000,0.047840,-0.006486
0.25,0.458333,0.047850,-0.002835
0.25,0.466667,0.047851,-0.008592
0.25,0.475000,0.047777,-0.018176
0.25,0.483333,0.047705,-0.025412
0.25,0.491667,0.047771,-0.007131
0.25,0.500000,0.047759,-0.014331
0.25,0.508333,0.047805,-0.009361
0.25,0.516667,0.047750,-0.013996
0.25,0.525000,0.047730,-0.015601
0.25,0.533333,0.047848,0.011767
0.25,0.541667,0.047881,0.002736
0.25,0.550000,0.047827,-0.010082
0.25,0.558333,0.047769,-0.012224
0.25,0.566667,0.047852,-0.005478
0.25,0.575000,0.047841,-0.011859
0.25,0.583333,0.047847,-0.007661
0.25,0.591667,0.047875,-0.003102
0.25,0.600000,0.047814,-0.013387
0.25,0.608333,0.047830,-0.004113
0.25,0.616667,0.047900,0.001736
0.25,0.625000,0.047870,-0.008641
0.25,0.633333,0.047785,-0.014002
0.25,0.641667,0.047810,-0.010041
0.25,0.650000,0.047726,-0.016576
0.25,0.658333,0.047768,-0.013962
0.25,0.666667,0.047766,-0.013697
0.25,0.675000,0.047776,-0.015478
0.25,0.683333,0.047801,-0.005454
0.25,0.691667,0.047822,-0.003738
0.25,0.700000,0.047823,-0.005208
0.25,0.708333,0.047736,-0.024325
0.25,0.716667,0.047726,-0.021911
0.25,0.725000,0.047797,-0.008610
0.25,0.733333,0.047771,-0.015457
0.25,0.741667,0.047768,-0.014279
0.25,0.750000,0.047812,-0.012070
0.25,0.758333,0.047792,-0.010288
0.25,0.766667,0.047842,0.001383
0.25,0.775000,0.047884,0.001160
0.25,0.783333,0.047848,-0.008994
0.25,0.791667,0.047761,-0.022194
0.25,0.800000,0.047744,-0.019184
0.25,0.808333,0.047553,-0.031508
0.25,0.816667,0.047655,-0.018516
0.25,0.825000,0.047764,-0.010431
0.25,0.833333,0.047802,-0.006557
0.25,0.841667,0.047831,0.001346
0.25,0.850000,0.047884,0.001373
0.25,0.858333,0.047893,-0.003829
0.25,0.866667,0.047846,-0.009276
0.25,0.875000,0.047799,-0.018598
0.25,0.883333,0.047740,-0.020690
0.25,0.891667,0.047849,-0.004816
0.25,0.900000,0.047815,-0.013880
0.25,0.908333,0.047807,-0.010354
0.25,0.916667,0.047749,-0.019460
0.25,0.925000,0.047806,0.002287
0.25,0.933333,0.047831,-0.006977
0.25,0.941667,0.047781,-0.015951
0.25,0.950000,0.047764,-0.015977
0.25,0.958333,0.047712,-0.022010
0.25,0.966667,0.047748,-0.020924
0.25,0.975000,0.047805,-0.012247
0.25,0.983333,0.047725,-0.016641
0.25,0.991667,0.047805,-0.004925
0.25,1.000000,0.047864,-0.000418
0.25,1.008333,0.047892,-0.004496
0.25,1.016667,0.047852,-0.009112
0.25,1.025000,0.047827,-0.009084
0.25,1.033333,0.047778,-0.018456
0.25,1.041667,0.047802,-0.013115
0.25,1.050000,0.047780,-0.010689
0.25,1.058333,0.047821,-0.011520
0.25,1.066667,0.047710,-0.022815
0.25,1.075000,0.047796,-0.002257
0.25,1.083333,0.047859,-0.000206
0.25,1.091667,0.047873,-0.002423
0.25,1.100000,0.047804,-0.014576
0.25,1.108333,0.047840,-0.009283
0.25,1.116667,0.047808,-0.012566
0.25,1.125000,0.047688,-0.024110
0.25,1.133333,0.047681,-0.016626
0.25,1.141667,0.047716,-0.013280
0.25,1.150000,0.047794,0.005668
0.25,1.158333,0.047808,0.000316
0.25,1.166667,0.047818,-0.008909
0.25,1.175000,0.047819,-0.012648
0.25,1.183333,0.047801,-0.015548
0.25,1.191667,0.047770,-0.017156
0.25,1.200000,0.047804,-0.009962
0.25,1.208333,0.047636,-0.031600
0.25,1.216667,0.047758,0.003807
0.25,1.225000,0.047794,-0.011308
0.25,1.233333,0.047796,-0.012805
0.25,1.241667,0.047800,-0.008864
0.25,1.250000,0.047837,-0.005031
0.25,1.258333,0.047754,-0.023128
0.25,1.266667,0.047652,-0.026706
0.25,1.275000,0.047665,-0.017425
0.25,1.283333,0.047819,-0.002031
0.25,1.291667,0.047788,-0.016674
0.25,1.300000,0.047776,-0.016681
0.25,1.308333,0.047769,-0.013342
0.25,1.316667,0.047825,0.001077
0.25,1.325000,0.047878,0.000874
0.25,1.333333,0.047822,-0.013473
0.25,1.341667,0.047770,-0.020005
0.25,1.350000,0.047752,-0.014699
0.25,1.358333,0.047784,-0.010511
0.25,1.366667,0.047775,-0.011112
0.25,1.375000,0.047820,-0.011690
0.25,1.383333,0.047879,-0.005728
0.25,1.391667,0.047812,-0.008747
0.25,1.400000,0.047883,-0.000315
0.25,1.408333,0.047829,-0.009234
0.25,1.416667,0.047815,-0.005246
0.25,1.425000,0.047782,-0.012907
0.25,1.433333,0.047791,-0.013381
0.25,1.441667,0.047810,-0.009088
0.25,1.450000,0.047729,-0.008793
0.25,1.458333,0.047710,-0.014477
0.25,1.466667,0.047800,-0.002188
0.25,1.475000,0.047821,0.000825
0.25,1.483333,0.047822,-0.009973
0.25,1.491667,0.047779,-0.017590
0.25,1.500000,0.047754,-0.017385
0.25,1.508333,0.047637,-0.026857
0.25,1.516667,0.047743,-0.011461
0.25,1.525000,0.047692,-0.016384
0.25,1.533333,0.047779,-0.012846
0.25,1.541667,0.047788,-0.004894
0.25,1.550000,0.047822,-0.002509
0.25,1.558333,0.047822,-0.009825
0.25,1.566667,0.047804,-0.009520
0.25,1.575000,0.047774,-0.015213
0.25,1.583333,0.047699,-0.020891
0.25,1.591667,0.047700,-0.020198
0.25,1.600000,0.047823,-0.005512
0.25,1.608333,0.047774,-0.015271
0.25,1.616667,0.047712,-0.021422
0.25,1.625000,0.047798,0.003904
0.25,1.633333,0.047810,-0.003286
0.25,1.641667,0.047851,0.000377
0.25,1.650000,0.047806,-0.015067
0.25,1.658333,0.047766,-0.013445
0.25,1.666667,0.047736,-0.020563
0.25,1.675000,0.047817,-0.010242
0.25,1.683333,0.047690,-0.024021
0.25,1.691667,0.047721,-0.008018
0.25,1.700000,0.047730,-0.010141
0.25,1.708333,0.047818,0.001601
0.25,1.716667,0.047864,-0.005414
0.25,1.725000,0.047850,-0.009852
0.25,1.733333,0.047782,-0.016922
0.25,1.741667,0.047693,-0.022181
0.25,1.750000,0.047807,-0.009310
0.25,1.758333,0.047708,-0.021829
0.25,1.766667,0.047806,-0.007165
0.25,1.775000,0.047758,-0.020140
0.25,1.783333,0.047770,-0.008861
