omega_frac,t,z,vz
0.25,0.000000,0.048049,0.001941
0.25,0.008333,0.047948,-0.005135
0.25,0.016667,0.047912,-0.011107
0.25,0.025000,0.047956,0.007317
0.25,0.033333,0.047867,-0.009106
0.25,0.041667,0.047965,0.020209
0.25,0.050000,0.047906,-0.010245
0.25,0.058333,0.047824,-0.016854
0.25,0.066667,0.047943,0.013374
0.25,0.075000,0.047939,-0.025868
0.25,0.083333,0.047828,-0.012098
0.25,0.091667,0.047886,-0.004426
0.25,0.100000,0.047832,-0.004672
0.25,0.108333,0.047911,0.007726
0.25,0.116667,0.047888,-0.001851
0.25,0.125000,0.047842,-0.018582
0.25,0.133333,0.047809,-0.021922
0.25,0.141667,0.047901,-0.006093
0.25,0.150000,0.047885,0.000441
0.25,0.158333,0.047939,-0.004640
0.25,0.166667,0.047904,-0.012304
0.25,0.175000,0.047856,-0.025958
0.25,0.183333,0.047879,-0.007220
0.25,0.191667,0.047857,-0.015952
0.25,0.200000,0.047822,-0.018920
0.25,0.208333,0.047826,-0.023464
0.25,0.216667,0.047831,-0.017109
0.25,0.225000,0.047915,0.006105
0.25,0.233333,0.047910,0.002178
0.25,0.241667,0.047913,-0.012796
0.25,0.250000,0.047799,-0.015571
0.25,0.258333,0.047876,-0.007152
0.25,0.266667,0.047774,-0.020253
0.25,0.275000,0.047905,-0.006483
0.25,0.283333,0.047857,-0.012979
0.25,0.291667,0.047843,-0.016423
0.25,0.300000,0.047862,-0.004480
0.25,0.308333,0.047901,-0.003793
0.25,0.316667,0.047912,-0.004166
0.25,0.325000,0.047818,-0.013319
0.25,0.333333,0.047949,-0.003227
0.25,0.341667,0.047864,0.002033
0.25,0.350000,0.047798,-0.015740
0.25,0.358333,0.047915,-0.018227
0.25,0.366667,0.047784,-0.027570
0.25,0.375000,0.047886,-0.031170
0.25,0.383333,0.047895,-0.002832
0.25,0.391667,0.047919,-0.009320
0.25,0.400000,0.047879,-0.011070
0.25,0.408333,0.047791,-0.019199
0.25,0.416667,0.047736,-0.025048
0.25,0.425000,0.047849,-0.009891
0.25,0.433333,0.047850,-0.015086
0.25,0.441667,0.047842,-0.016480
0.25,0.450000,0.047805,-0.010631
0.25,0.458333,0.047925,-0.006135
0.25,0.466667,0.047895,-0.008490
0.25,0.475000,0.048317,0.043965
0.25,0.483333,0.048010,-0.034453
0.25,0.491667,0.047818,-0.010337
0.25,0.500000,0.047897,-0.008983
0.25,0.508333,0.047857,-0.016635
0.25,0.516667,0.047817,-0.027153
0.25,0.525000,0.047820,-0.028540
0.25,0.533333,0.047815,-0.009990
0.25,0.541667,0.047910,0.000945
0.25,0.550000,0.047891,-0.006584
0.25,0.558333,0.047839,-0.017238
0.25,0.566667,0.047862,-0.008934
0.25,0.575000,0.047816,-0.017299
0.25,0.583333,0.047837,-0.014516
0.25,0.591667,0.047915,-0.024756
0.25,0.600000,0.047813,-0.014254
0.25,0.608333,0.047967,0.015932
0.25,0.616667,0.047826,-0.015396
0.25,0.625000,0.047909,-0.001348
0.25,0.633333,0.047984,0.007313
0.25,0.641667,0.047833,-0.019451
0.25,0.650000,0.047882,-0.011955
0.25,0.658333,0.047819,-0.008453
0.25,0.666667,0.047889,0.002894
0.25,0.675000,0.047730,-0.023030
0.25,0.683333,0.047910,0.009324
0.25,0.691667,0.047859,-0.006606
0.25,0.700000,0.047888,-0.003516
0.25,0.708333,0.047889,-0.005458
0.25,0.716667,0.047862,-0.013392
0.25,0.725000,0.047788,-0.021102
0.25,0.733333,0.047889,-0.006694
0.25,0.741667,0.047817,-0.024326
0.25,0.750000,0.047831,-0.021395
0.25,0.758333,0.047820,-0.016305
0.25,0.766667,0.047805,-0.013109
0.25,0.775000,0.047918,-0.005598
0.25,0.783333,0.047881,0.002271
0.25,0.791667,0.047917,-0.010356
0.25,0.800000,0.047828,-0.017855
0.25,0.808333,0.047793,-0.027642
0.25,0.816667,0.047771,-0.011462
0.25,0.825000,0.047933,-0.009398
0.25,0.833333,0.047953,-0.002914
0.25,0.841667,0.047812,-0.003635
0.25,0.850000,0.047869,-0.000849
0.25,0.858333,0.047864,0.008854
0.25,0.866667,0.047881,-0.009365
0.25,0.875000,0.047857,-0.016792
0.25,0.883333,0.047725,-0.036185
0.25,0.891667,0.047773,-0.024456
0.25,0.900000,0.047910,-0.005135
0.25,0.908333,0.047851,-0.009907
0.25,0.916667,0.047899,0.004463
0.25,0.925000,0.047860,-0.016837
0.25,0.933333,0.047884,-0.009006
0.25,0.941667,0.047836,-0.004325
0.25,0.950000,0.047937,-0.001277
0.25,0.958333,0.047881,-0.016355
0.25,0.966667,0.047749,-0.042472
0.25,0.975000,0.047896,-0.011397
0.25,0.983333,0.047741,-0.022408
0.25,0.991667,0.047866,-0.014467
0.25,1.000000,0.047842,-0.007333
0.25,1.008333,0.047783,-0.018322
0.25,1.016667,0.047890,-0.000532
0.25,1.025000,0.047922,0.005243
0.25,1.033333,0.047934,-0.031160
0.25,1.041667,0.047793,-0.022921
0.25,1.050000,0.047844,-0.005251
0.25,1.058333,0.047825,-0.014888
0.25,1.066667,0.047870,-0.009394
0.25,1.075000,0.047901,-0.020962
0.25,1.083333,0.047826,-0.022781
0.25,1.091667,0.047839,-0.006337
0.25,1.100000,0.047958,0.012388
0.25,1.108333,0.047961,0.009730
0.25,1.116667,0.047853,-0.016781
0.25,1.125000,0.047826,-0.023929
0.25,1.133333,0.047680,-0.019704
0.25,1.141667,0.047876,-0.020931
0.25,1.150000,0.047758,-0.024952
0.25,1.158333,0.047918,0.010342
0.25,1.166667,0.047843,-0.012445
0.25,1.175000,0.047889,-0.013878
0.25,1.183333,0.047848,-0.018485
0.25,1.191667,0.047915,-0.003865
0.25,1.200000,0.047814,-0.016578
0.25,1.208333,0.047794,-0.013696
0.25,1.216667,0.047789,-0.006913
0.25,1.225000,0.047906,-0.007839
0.25,1.233333,0.047817,-0.003631
0.25,1.241667,0.047922,0.003309
0.25,1.250000,0.047843,0.001140
0.25,1.258333,0.047857,-0.022115
0.25,1.266667,0.048045,0.012228
0.25,1.275000,0.048644,0.046280
0.25,1.283333,0.048358,-0.033471
0.25,1.291667,0.047735,-0.051439
0.25,1.300000,0.047850,0.001973
0.25,1.308333,0.047823,-0.030102
0.25,1.316667,0.047870,-0.007852
0.25,1.325000,0.047864,-0.008917
0.25,1.333333,0.047879,-0.018136
0.25,1.341667,0.047915,0.007691
0.25,1.350000,0.047854,-0.009873
0.25,1.358333,0.047812,-0.024348
0.25,1.366667,0.047891,-0.015487
0.25,1.375000,0.047805,-0.015875
0.25,1.383333,0.047842,-0.016888
0.25,1.391667,0.047795,-0.003978
0.25,1.400000,0.047898,-0.005849
0.25,1.408333,0.047846,-0.005791
0.25,1.416667,0.047896,0.002729
0.25,1.425000,0.047938,-0.002742
0.25,1.433333,0.047826,-0.017017
0.25,1.441667,0.047856,-0.025063
0.25,1.450000,0.047787,-0.017388
0.25,1.458333,0.047817,-0.021464
0.25,1.466667,0.047843,-0.019697
0.25,1.475000,0.047868,-0.010813
0.25,1.483333,0.047845,-0.016812
0.25,1.491667,0.047821,-0.000406
0.25,1.500000,0.048000,-0.018969
0.25,1.508333,0.047865,-0.018189
0.25,1.516667,0.047876,-0.007531
0.25,1.525000,0.047896,0.002687
0.25,1.533333,0.047926,0.007230
0.25,1.541667,0.047848,-0.015082
0.25,1.550000,0.047850,-0.008748
0.25,1.558333,0.047863,-0.003600
0.25,1.566667,0.047882,-0.004994
0.25,1.575000,0.047868,0.003291
0.25,1.583333,0.047852,-0.013130
0.25,1.591667,0.047839,-0.020775
0.25,1.600000,0.047824,-0.019752
0.25,1.608333,0.047843,-0.017659
0.25,1.616667,0.047864,-0.008334
0.25,1.625000,0.047847,-0.008771
0.25,1.633333,0.047851,-0.019298
0.25,1.641667,0.047794,-0.008610
0.25,1.650000,0.047892,0.010003
0.25,1.658333,0.047933,0.006516
0.25,1.666667,0.047874,-0.010900
0.25,1.675000,0.047816,-0.020558
0.25,1.683333,0.047758,-0.020416
0.25,1.691667,0.047940,0.018732
0.25,1.700000,0.047902,-0.008484
0.25,1.708333,0.047841,-0.006463
0.25,1.716667,0.047904,0.015786
0.25,1.725000,0.047885,0.011847
0.25,1.733333,0.047917,0.011658
0.25,1.741667,0.047882,-0.005083
0.25,1.750000,0.047882,-0.025469
0.25,1.758333,0.047758,-0.035347
0.25,1.766667,0.047829,-0.015747
0.25,1.775000,0.047851,-0.010869
0.25,1.783333,0.047861,-0.014038
0.25,1.791667,0.047791,-0.023651
0.25,1.800000,0.047814,-0.027272
0.25,1.808333,0.047833,-0.010076
0.25,1.816667,0.047946,0.004330
0.25,1.825000,0.047838,-0.011503
0.25,1.833333,0.047834,-0.041250
0.25,1.841667,0.047706,-0.035289
0.25,1.850000,0.047821,-0.018681
0.25,1.858333,0.047835,-0.014764
0.25,1.866667,0.047799,-0.021456
0.25,1.875000,0.047819,-0.023533
0.25,1.883333,0.047866,-0.008234
0.25,1.891667,0.047911,0.009206
0.25,1.900000,0.048341,0.057603
0.25,1.908333,0.048318,0.007635
0.25,1.916667,0.047940,-0.046634
0.25,1.925000,0.047871,-0.002688
0.25,1.933333,0.047908,-0.003397
0.25,1.941667,0.047782,-0.018999
0.25,1.950000,0.047793,-0.009395
0.25,1.958333,0.047855,-0.020930
0.25,1.966667,0.047927,-0.021134
0.25,1.975000,0.047966,-0.027191
0.25,1.983333,0.047843,-0.017597
0.25,1.991667,0.047799,-0.016433
0.25,2.000000,0.047827,-0.019633
0.25,2.008333,0.047792,-0.020355
0.25,2.016667,0.047883,-0.018775
0.25,2.025000,0.047833,-0.011831
0.25,2.033333,0.047872,-0.021198
0.25,2.041667,0.047826,-0.007101
0.25,2.050000,0.047893,0.000721
0.25,2.058333,0.047887,-0.014981
0.25,2.066667,0.047904,0.002683
0.25,2.075000,0.047889,-0.011435
0.25,2.083333,0.047874,-0.009811
0.25,2.091667,0.047827,-0.001708
0.25,2.100000,0.047859,-0.002980
