iteration,total_steps,steps_per_second,collection_time_s,learning_time_s,mean_value_loss,mean_surrogate_loss,mean_entropy_loss,mean_reward,mean_episode_length,mean_action_std
0,3072,39,20.192,57.648,0.0109,-0.0054,0.622,-0.28,35.2,0.3
1,6144,35,19.269,67.134,0.0741,-0.0015,0.6196,-1.22,64.35,0.3
2,9216,51,19.245,40.325,0.0692,-0.0043,0.6215,-1.67,79.93,0.3
3,12288,36,20.548,64.344,0.1253,-0.0023,0.6175,-2.2,105.26,0.3
4,15360,47,19.688,45.285,0.0905,-0.0032,0.6146,-2.46,126.26,0.3
5,18432,50,18.676,41.675,0.0522,-0.0033,0.6136,-2.68,134.81,0.3
6,21504,49,19.515,42.694,0.0585,-0.0028,0.611,-2.77,142.16,0.3
7,24576,49,18.622,44.014,0.0834,-0.0045,0.6084,-3.21,160.22,0.3
8,27648,52,17.545,40.956,0.0533,-0.0043,0.6055,-3.5,170.4,0.3
9,30720,52,17.684,40.381,0.0614,-0.0065,0.6035,-3.55,169.89,0.3
10,33792,52,18.328,40.371,0.0375,-0.0046,0.594,-3.82,179.29,0.3
11,36864,50,19.569,41.438,0.0379,-0.0033,0.5923,-3.89,177.05,0.3
12,39936,48,20.099,42.729,0.0479,-0.0037,0.5977,-3.93,178.71,0.3
13,43008,50,19.673,40.686,0.0301,-0.0059,0.5864,-4.21,189.94,0.3
14,46080,53,18.758,38.406,0.028,-0.0052,0.5829,-4.41,197.09,0.3
15,49152,54,18.445,38.416,0.0342,-0.0043,0.5804,-4.42,197.25,0.3
16,52224,52,18.249,39.969,0.0249,-0.0065,0.5825,-4.56,210.36,0.3
17,55296,57,17.364,35.853,0.0132,-0.0039,0.5798,-4.51,207.48,0.3
18,58368,54,17.638,38.92,0.0246,-0.0048,0.5866,-4.6,219.92,0.3
19,61440,52,18.662,40.005,0.0225,-0.0045,0.5844,-4.63,233.29,0.3
20,64512,53,18.604,38.43,0.0275,-0.0044,0.5896,-4.75,248.93,0.3
21,67584,51,18.686,41.517,0.0209,-0.0032,0.5856,-4.87,265.28,0.3
22,70656,55,18.356,36.841,0.023,-0.0059,0.5795,-4.82,261.5,0.3
23,73728,54,18.664,37.397,0.0232,-0.0048,0.5681,-4.66,263.66,0.29
24,76800,56,18.948,35.806,0.018,-0.0058,0.5573,-4.75,266.58,0.29
25,79872,53,19.501,37.891,0.0215,-0.0069,0.5514,-4.81,278.72,0.29
26,82944,50,19.86,41.544,0.0264,-0.0043,0.5539,-4.95,299.4,0.29
27,86016,53,18.946,38.948,0.0218,-0.0049,0.5529,-4.95,297.33,0.29
28,89088,52,17.674,40.493,0.0174,-0.0048,0.5608,-4.86,283.32,0.29
29,92160,52,18.062,41.006,0.0158,-0.0081,0.5489,-4.72,266.97,0.29
30,95232,54,17.77,38.874,0.0142,-0.005,0.5461,-4.78,267.41,0.29
31,98304,55,17.587,37.874,0.0145,-0.0076,0.5663,-4.76,271.93,0.3
32,101376,54,17.807,38.394,0.0234,-0.0066,0.5684,-4.63,266.0,0.3
33,104448,50,18.668,42.034,0.0272,-0.0078,0.5653,-4.9,267.87,0.29
34,107520,55,17.771,37.353,0.0286,-0.0038,0.5642,-4.91,259.78,0.29
35,110592,54,18.098,37.866,0.0139,-0.0057,0.5506,-4.84,248.23,0.29
36,113664,56,17.247,36.894,0.0184,-0.0072,0.5517,-4.9,249.67,0.29
37,116736,57,17.365,35.829,0.0151,-0.0061,0.554,-4.95,255.04,0.29
38,119808,55,17.618,37.38,0.0143,-0.0087,0.5516,-5.25,268.45,0.29
39,122880,58,18.469,34.276,0.0133,-0.0084,0.557,-5.26,269.45,0.29
40,125952,57,17.58,35.732,0.0131,-0.0072,0.5487,-5.43,284.28,0.29
41,129024,53,17.681,39.357,0.0151,-0.0095,0.5368,-5.65,303.03,0.29
42,132096,56,17.436,37.38,0.0144,-0.0059,0.5163,-5.72,304.01,0.29
43,135168,53,18.042,39.421,0.0161,-0.0064,0.5154,-5.95,327.15,0.29
44,138240,54,17.918,38.934,0.0147,-0.0079,0.5322,-5.74,327.71,0.29
45,141312,54,17.959,38.898,0.0196,-0.0077,0.531,-5.7,333.2,0.29
46,144384,55,17.34,37.873,0.0152,-0.0068,0.531,-5.84,346.85,0.29
47,147456,54,17.216,39.416,0.0178,-0.0044,0.527,-5.9,364.68,0.29
48,150528,54,18.286,38.408,0.0293,-0.0047,0.5497,-5.65,357.84,0.29
49,153600,52,17.827,40.427,0.0235,-0.0089,0.5573,-5.39,337.99,0.29
50,156672,53,18.037,38.938,0.0141,-0.0061,0.5611,-5.06,319.09,0.29
51,159744,51,19.218,39.943,0.0195,-0.0092,0.5627,-4.88,305.89,0.3
52,162816,53,17.914,39.422,0.0195,-0.0086,0.5658,-4.85,292.98,0.3
53,165888,55,17.709,37.763,0.0129,-0.0087,0.5697,-4.76,288.9,0.3
54,168960,55,17.337,38.317,0.0282,-0.0049,0.5693,-4.55,275.7,0.3
55,172032,51,18.369,40.895,0.0164,-0.0086,0.5562,-4.43,263.81,0.29
56,175104,55,18.744,36.726,0.0182,-0.0062,0.5623,-4.29,251.87,0.29
57,178176,55,18.888,36.755,0.0169,-0.0066,0.5696,-4.16,247.93,0.29
58,181248,53,19.087,38.269,0.0187,-0.0081,0.5639,-4.38,265.21,0.29
59,184320,51,18.417,40.909,0.0216,-0.0077,0.571,-4.44,271.93,0.29
60,187392,54,18.614,37.363,0.0149,-0.0074,0.5799,-4.37,264.46,0.3
61,190464,54,18.716,37.895,0.0147,-0.0095,0.575,-4.42,272.34,0.3
62,193536,58,17.818,34.82,0.0276,-0.0045,0.5709,-4.4,269.83,0.29
63,196608,56,17.442,36.856,0.0113,-0.0065,0.5723,-4.45,286.49,0.3
64,199680,55,17.653,37.864,0.0194,-0.007,0.5804,-4.64,298.15,0.3
65,202752,56,17.343,37.372,0.0253,-0.0053,0.5747,-4.93,316.29,0.29
66,205824,57,17.178,36.362,0.0174,-0.0082,0.576,-5.02,327.43,0.29
