omega_frac,t,z,vz
0.25,0.000000,0.048058,0.008443
0.25,0.008333,0.047871,-0.024129
0.25,0.016667,0.047761,-0.020522
0.25,0.025000,0.047763,-0.018400
0.25,0.033333,0.047814,-0.013585
0.25,0.041667,0.047776,-0.016192
0.25,0.050000,0.047843,-0.003506
0.25,0.058333,0.047756,-0.016096
0.25,0.066667,0.047835,0.008308
0.25,0.075000,0.047853,-0.008733
0.25,0.083333,0.047757,-0.017966
0.25,0.091667,0.047749,-0.011933
0.25,0.100000,0.047822,-0.000679
0.25,0.108333,0.047821,-0.013492
0.25,0.116667,0.047760,-0.019640
0.25,0.125000,0.047772,-0.015461
0.25,0.133333,0.047827,-0.009151
0.25,0.141667,0.047861,-0.001485
0.25,0.150000,0.047861,-0.002945
0.25,0.158333,0.047818,-0.015691
0.25,0.166667,0.047781,-0.015794
0.25,0.175000,0.047739,-0.022185
0.25,0.183333,0.047776,-0.016206
0.25,0.191667,0.047820,-0.011121
0.25,0.200000,0.047813,-0.010621
0.25,0.208333,0.047680,-0.027770
0.25,0.216667,0.047757,0.000719
0.25,0.225000,0.047900,0.009965
0.25,0.233333,0.047846,-0.012360
0.25,0.241667,0.047738,-0.025236
0.25,0.250000,0.047731,-0.018413
0.25,0.258333,0.047787,-0.014140
0.25,0.266667,0.047784,-0.015862
0.25,0.275000,0.047807,-0.010682
0.25,0.283333,0.047612,-0.027087
0.25,0.291667,0.047714,0.009831
0.25,0.300000,0.047841,0.011377
0.25,0.308333,0.047856,-0.000794
0.25,0.316667,0.047823,-0.014158
0.25,0.325000,0.047801,-0.015197
0.25,0.333333,0.047817,-0.008741
0.25,0.341667,0.047813,-0.012796
0.25,0.350000,0.047677,-0.025477
0.25,0.358333,0.047691,-0.010714
0.25,0.366667,0.047772,-0.002727
0.25,0.375000,0.047795,-0.002981
0.25,0.383333,0.047852,0.005657
0.25,0.391667,0.047855,-0.007949
0.25,0.400000,0.047795,-0.016940
0.25,0.408333,0.047772,-0.013603
0.25,0.416667,0.047791,-0.012641
0.25,0.425000,0.047714,-0.014944
0.25,0.433333,0.047773,-0.009273
0.25,0.441667,0.047741,-0.015407
0.25,0.450000,0.047798,-0.003452
0.25,0.458333,0.047865,0.002743
0.25,0.466667,0.047821,-0.008796
0.25,0.475000,0.047721,-0.018171
0.25,0.483333,0.047768,-0.013227
0.25,0.491667,0.047711,-0.024249
0.25,0.500000,0.047797,-0.007926
0.25,0.508333,0.047686,-0.023023
0.25,0.516667,0.047772,-0.010906
0.25,0.525000,0.047730,-0.017932
0.25,0.533333,0.047870,0.011860
0.25,0.541667,0.047926,0.002079
0.25,0.550000,0.047867,-0.013288
0.25,0.558333,0.047803,-0.019122
0.25,0.566667,0.047729,-0.016152
0.25,0.575000,0.047769,-0.009087
0.25,0.583333,0.047754,-0.012140
0.25,0.591667,0.047800,-0.015379
0.25,0.600000,0.047741,-0.019703
0.25,0.608333,0.047787,-0.004995
0.25,0.616667,0.047921,0.014301
0.25,0.625000,0.047876,-0.010528
0.25,0.633333,0.047752,-0.019441
0.25,0.641667,0.047762,-0.005743
0.25,0.650000,0.047791,-0.015468
0.25,0.658333,0.047783,-0.009498
0.25,0.666667,0.047825,-0.001720
0.25,0.675000,0.047837,-0.009600
0.25,0.683333,0.047788,-0.015439
0.25,0.691667,0.047799,-0.002788
0.25,0.700000,0.047831,-0.004132
0.25,0.708333,0.047811,-0.014015
0.25,0.716667,0.047730,-0.020980
